fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers;attackers_count;threatened_pieces;threatened_pieces_count;guards;guards_count;guarded_pieces;guarded_pieces_count;threatened_guarded_pieces;threatened_guarded_pieces_count;unopposed_threats;unopposed_threats_count;pawn_ending;rook_ending
6;True;Re1;Rf1-e1;0;25;Bxc6;36;36;1;False;False;False;30;1;a4, f3;2;c6, e5;2;c6, f6, b7, d7, e7, g7, a8, c8, d8, e8, h8;11;e5, a6, c6, f6, b7, c7, d7, e7, f7, h7, c8, d8, e8;13;c6, e5;2;;0;False;False
6;False;b5;b7-b5;72;30;b5;76;4;0;False;False;False;25;2;b5, f6;2;a4, e4;2;a1, b1, c1, d1, e1, g1, g2, f3, a4;9;b1, c1, d1, e1, g1, a2, b2, c2, d2, f2, g2, h2, f3, e4;14;e4;1;a4;1;False;False
7;True;Bb3;Ba4-b3;25;25;Bb3;29;4;0;False;False;False;30;1;b3, f3;2;e5, f7;2;a6, c6, f6, d7, e7, g7, a8, c8, d8, e8, h8;11;b5, e5, a6, c6, f6, c7, d7, e7, h7, c8, d8, e8;12;e5;1;f7;1;False;False
7;False;d6;d7-d6;68;30;d6;50;18;0;False;False;False;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, g1, a2, c2, g2, b3, f3;11;b1, c1, d1, e1, g1, a2, b2, c2, d2, f2, g2, h2, b3, f3, e4;15;e4;1;;0;False;False
8;True;c3;c2-c3;9;27;d3;20;11;1;False;False;False;33;1;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, e8, h8;12;b5, e5, a6, d6, f6, c7, e7, h7, c8, d8, e8;11;e5;1;f7;1;False;False
8;False;O-O;O-O;64;33;O-O;65;1;0;False;False;True;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;12;b1, c1, d1, e1, g1, a2, b2, d2, f2, g2, h2, b3, c3, f3, e4;15;e4;1;;0;False;False
9;True;h3;h2-h3;18;27;d4;17;1;1;False;False;False;30;2;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, f8, g8;12;b5, e5, a6, d6, f6, c7, e7, f7, g7, h7, c8, d8, f8, g8;14;f7, e5;2;;0;False;False
9;False;Bb7;Bc8-b7;80;30;Nb8;63;17;1;False;False;False;28;2;f6;1;e4;1;a1, b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;12;b1, c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, e4;15;e4;1;;0;False;False
10;True;d4;d2-d4;48;28;d4;39;9;0;False;False;False;29;3;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, f7, g7, h7, a8, d8, f8, g8;15;f7, e5;2;;0;False;False
10;False;Re8;Rf8-e8;103;29;Re8;80;23;0;False;False;False;36;3;c6, e5, f6;3;d4, e4;2;a1, b1, c1, d1, e1, g1, a2, b2, g2, b3, c3, f3;12;b1, c1, d1, e1, g1, a2, b2, f2, g2, b3, c3, f3, h3, d4, e4;15;e4, d4;2;;0;False;False
11;True;Nbd2;Nb1-d2;26;36;Nbd2;35;9;0;False;False;False;29;3;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, e8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, g7, h7, a8, d8, e8, g8;14;e5;1;f7;1;False;False
11;False;Bf8;Be7-f8;81;29;Bf8;79;2;0;False;False;False;30;3;c6, e5, f6;3;d4, e4;2;a1, c1, d1, e1, g1, a2, b2, d2, g2, b3, c3, f3;12;c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, d4, e4;15;e4, d4;2;;0;False;False
12;True;a4;a2-a4;11;30;a3;39;28;1;False;False;False;32;4;a4, b3, d4, f3;4;b5, e5, f7;3;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, g7, h7, a8, d8, e8, f8, g8;14;e5, b5;2;f7;1;False;False
12;False;h6;h7-h6;62;32;h6;51;11;0;False;False;False;32;4;b5, c6, e5, f6;4;a4, d4, e4;3;a1, c1, d1, e1, g1, b2, d2, g2, b3, c3, f3;11;c1, d1, e1, g1, b2, d2, f2, g2, b3, c3, f3, h3, a4, d4, e4;15;e4, d4, a4;3;;0;False;False
13;True;Bc2;Bb3-c2;-24;32;d5;36;60;2;False;False;False;33;4;a4, d4, f3;3;b5, e5;2;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;15;e5, b5;2;;0;False;False
13;False;exd4;e5xd4;42;33;exd4;37;5;0;False;True;False;32;3;b5, d4, e8, f6;4;a4, c3, e4;3;a1, c1, d1, e1, g1, b2, c2, d2, g2, f3;10;c1, d1, e1, g1, b2, c2, d2, f2, g2, c3, f3, h3, a4, e4;14;e4, a4, c3;3;;0;False;False
14;True;cxd4;c3xd4;-35;32;Nxd4;2;37;1;False;True;False;35;4;a4;1;b5;1;a6, c6, f6, b7, c7, g7, a8, d8, e8, f8, g8;11;b5, a6, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;14;b5;1;;0;False;False
14;False;Nb4;Nc6-b4;23;35;Qd7;48;25;1;False;False;False;29;1;b5, f6, b7, b4, e8;5;a4, c2, e4;3;a1, c1, d1, e1, g1, c2, d2, g2, f3;9;c1, d1, e1, g1, b2, c2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, a4, c2;3;;0;False;False
15;True;Bb1;Bc2-b1;20;29;Bb1;3;17;0;False;False;False;37;4;a4;1;b5;1;a6, f6, b7, c7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;13;b5;1;;0;False;False
15;False;c5;c7-c5;61;37;c5;28;33;0;False;False;False;30;2;b5, c5, f6, b7, e8;5;a4, d4, e4;3;a1, b1, c1, d1, e1, g1, d2, g2, f3;9;b1, c1, d1, e1, g1, b2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, d4, a4;3;;0;False;False
16;True;d5;d4-d5;7;30;d5;45;38;0;False;False;False;37;6;a4;1;b5;1;c5, a6, d6, f6, b7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, f6, h6, f7, g7, a8, b4, d8, e8, f8, g8;14;b5;1;;0;False;False
16;False;Nd7;Nf6-d7;100;37;g6;67;33;1;False;False;False;29;1;b4, e8, b5, b7;4;a4, d5, e4;3;a1, b1, c1, d1, e1, g1, d2, g2, f3, e4;10;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, f3, h3, a4, e4;14;d5, e4, a4;3;;0;False;False
17;True;Ra3;Ra1-a3;-38;29;Nf1;50;88;2;False;False;False;39;4;a4;1;b5;1;c5, a6, d6, b7, d7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, h6, d7, f7, g7, a8, b4, d8, e8, f8;13;b5;1;;0;False;False
17;False;c4;c5-c4;26;39;g6;29;3;1;False;False;False;33;2;b4, e8, b5, b7;4;a4, d5, e4;3;b1, c1, d1, e1, g1, b2, d2, g2, a3, f3, e4;11;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, a3, f3, h3, a4, e4;15;d5, e4, a4;3;;0;False;False
18;True;Nd4;Nf3-d4;-46;33;Ree3;-11;35;1;False;False;False;40;4;a4, d2, d4;3;b5, c4;2;b5, a6, b7, d7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, h6, d7, f7, g7, a8, c4, d8, e8, f8;12;b5, c4;2;;0;False;False
18;False;Qf6;Qd8-f6;22;40;Qb6;18;4;1;False;False;False;44;3;b5, f6, b7, b4, e8;5;d5, f2, a4, d4, e4;5;b1, c1, d1, e1, g1, b2, d2, g2, a3, e4;10;b1, c1, d5, e1, d1, g1, b2, d2, g2, a3, h3, a4, e4;13;d5, e4, a4;3;d4, f2;2;False;False
19;True;N2f3;Nd2-f3;-26;44;N2f3;-13;13;0;False;False;False;43;6;a4, c1, d4;3;b5, h6;2;b5, a6, f6, b7, d7, g7, a8, b4, e8, f8, g8;11;b5, a6, d6, f6, h6, f7, g7, a8, c4, e8, f8;11;h6, b5;2;;0;False;False
19;False;Nc5;Nd7-c5;32;43;Nc5;0;32;0;False;False;False;44;3;b5, c5, f6, b7, b4, e8;6;d5, f3, a4, d4, e4;5;b1, c1, d1, e1, g1, b2, g2, a3, f3, d4, e4;11;c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, a4, d4, e4;14;d5, e4, d4, a4, f3;5;;0;False;False
20;True;axb5;a4xb5;-32;44;Ree3;0;32;1;False;True;False;45;7;a3, b5, c1;3;a6, h6;2;c5, d6, f6, b7, g7, a8, b4, e8, f8, g8;10;c5, a6, d6, f6, h6, b7, f7, g7, a8, e8, f8;11;h6, a6;2;;0;False;False
20;False;axb5;a6xb5;-7;45;axb5;12;19;0;False;True;False;48;3;c5, f6, b7, a8, b4, e8;6;d5, a3, f3, d4, e4;5;b1, c1, d1, e1, g1, b2, g2, a3, f3, d4, e4;11;c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, d4, e4;13;d5, e4, d4, f3, a3;5;;0;False;False
21;True;Nxb5;Nd4xb5;-50;48;Rxa8;-8;42;2;False;True;False;52;7;a3, b5, c1;3;a8, d6, h6;3;c5, d6, f6, b7, g7, a8, e8, f8, g8;9;c5, d6, f6, h6, b7, f7, g7, a8, e8, f8;10;a8, h6, d6;3;;0;False;False
21;False;Rxa3;Ra8xa3;48;52;Rxa3;49;1;0;False;True;False;39;4;c5, f6, a3, b7, b4, e8;6;b2, d5, e4, f3;4;b1, c1, d1, e1, g1, g2, f3, e4;8;c1, d5, e1, d1, g1, b2, f2, g2, f3, h3, e4;11;d5, e4, f3, b2;4;;0;False;False
22;True;Nxa3;Nb5xa3;-83;39;Nxa3;-52;31;0;False;True;False;46;6;a3, c1;2;c4, h6;2;c5, d6, f6, g7, e8, f8, g8;7;c5, d6, f6, h6, b7, f7, g7, f8;8;h6;1;c4;1;False;False
22;False;Ba6;Bb7-a6;15;46;Nbd3;44;29;1;False;False;False;35;2;b4, c5, e8, f6;4;b2, d5, e4, f3;4;b1, c1, d1, e1, g1, b2, g2, a3, f3, e4;10;b1, c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, e4;13;d5, e4, f3, b2;4;;0;False;False
23;True;Re3;Re1-e3;-22;35;Re3;14;36;0;False;False;False;43;5;a3;1;c4;1;c5, a6, d6, f6, g7, b4, e8, f8, g8;9;c5, a6, d6, f6, h6, f7, g7, c4, f8;9;c4;1;;0;False;False
23;False;Rb8;Re8-b8;38;43;Rb8;7;31;0;False;False;False;36;1;b4, c5, f6;3;b2, d5, e4, f3;4;b1, c1, d1, g1, b2, f2, g2, a3, e3, f3, e4;11;b1, c1, d5, g1, b2, f2, g2, a3, e3, f3, h3, e4;12;d5, e4, f3, b2;4;;0;False;False
24;True;e5;e4-e5;-20;36;Bc2;8;28;1;False;False;False;39;4;a3, e5;2;c4, d6, f6;3;c5, a6, d6, f6, g7, b4, b8, f8, g8;9;c5, a6, d6, f6, h6, f7, g7, b4, c4, f8;10;f6, d6, c4;3;;0;False;False
24;False;dxe5;d6xe5;-18;39;dxe5;-9;9;0;False;True;False;42;3;b4, f6;2;d5, f3;2;c1, d1, g1, b2, f2, g2, a3, e3, f3;9;b1, c1, d5, g1, b2, f2, g2, a3, e3, f3, h3;11;d5, f3;2;;0;False;False
25;True;Nxe5;Nf3xe5;-17;42;Nxe5;-19;2;0;False;True;False;43;3;a3, e5;2;c4, f7;2;c5, a6, f6, g7, b4, b8, f8, g8;8;c5, a6, f6, h6, f7, g7, b4, c4, f8;9;f7, c4;2;;0;False;False
25;False;Nbd3;Nb4-d3;120;43;Ncd3;-15;135;3;False;False;False;43;7;b8, d3, f6;3;b2, c1, e5, f2;4;c1, d1, g1, b2, f2, g2, a3, e3;8;b1, c1, e5, g1, b2, g2, a3, e3, h3;9;e5, b2, c1;3;f2;1;False;False
26;True;Ng4;Ne5-g4;-48;43;Qc2;130;178;3;False;False;False;51;6;b1, d1, a3, e3, g4;5;c4, d3, f6, h6;4;c5, a6, f6, d3, g7, b8, c4, f8, g8;9;c5, a6, f6, h6, d3, f7, g7, c4, f8;9;h6, f6, c4, d3;4;;0;False;False
26;False;Qb6;Qf6-b6;-41;51;Qf5;-69;28;1;False;False;False;40;5;b6, d3;2;b2, c1, f2;3;c1, d1, g1, b2, f2, g2, a3, e3, h3, g4;10;b1, c1, g1, b2, f2, g2, a3, e3, h3, g4;10;f2, b2, c1;3;;0;False;False
27;True;Rg3;Re3-g3;-63;40;Rg3;-75;12;0;False;False;False;45;4;b1, c1, d1, a3, g3, g4;6;c4, d3, h6;3;c5, a6, b6, d3, g7, b8, c4, f8, g8;9;c5, a6, b6, h6, d3, f7, g7, b8, c4, f8;10;h6, c4, d3;3;;0;False;False
27;False;g6;g7-g6;-9;45;Ne4;-29;20;1;False;False;False;37;6;b6, d3;2;b2, c1, f2;3;c1, d1, g1, b2, f2, g2, a3, g3, h3, g4;10;b1, c1, g1, b2, f2, g2, a3, g3, h3, g4;10;f2, b2, c1;3;;0;False;False
28;True;Bxh6;Bc1xh6;-210;37;Bxd3;-44;166;3;False;True;False;44;4;b1, d1, h6, a3, g3;5;c4, d3, f8;3;c5, a6, b6, d3, f7, b8, c4, f8, g8;9;c5, a6, b6, g6, d3, f7, b8, c4, f8;9;f8, c4, d3;3;;0;False;False
28;False;Qxb2;Qb6xb2;-205;44;Qxb2;-84;121;3;False;True;False;37;5;b2, d3, f8;3;a3, b1, f2, h6;4;d1, g1, f2, g2, a3, g3, h3, g4;8;b1, g1, f2, g2, h6, g3, h3, g4;8;h6, f2, b1;3;a3;1;False;False
29;True;Qf3;Qd1-f3;-127;37;Qd2;-163;36;1;False;False;False;54;5;a3, b1, f3, h6;4;d3, c4, f7, f8;4;c5, a6, b2, d3, f7, b8, c4, f8;8;c5, a6, b2, g6, d3, b8, c4, f8;8;f8, c4, d3;3;f7;1;False;False
29;False;Nd7;Nc5-d7;-100;54;Nd7;-127;27;0;False;False;False;31;5;b2, d3, f8;3;a3, b1, f2, h6;4;g1, f2, g2, a3, f3, g3, h3, g4;8;b1, d5, f2, g2, h6, f3, g3, h3, g4;9;h6, f2, b1;3;a3;1;False;False
30;True;Bxf8;Bh6xf8;-16;31;Bxf8;-9;7;0;False;True;False;52;7;a3, b1, f3;3;c4, d3, f7;3;a6, b2, d7, d3, f7, b8, c4;7;b2, g6, d3, b8, c4;5;c4, d3;2;f7;1;False;False
30;False;Kxf8;Kg8xf8;-8;52;Kxf8;-14;6;0;False;True;False;25;4;b2, d3;2;a3, b1, f2;3;g1, f2, g2, a3, f3, g3, h3, g4;8;b1, d5, f2, g2, f3, g3, h3, g4;8;f2, b1;2;a3;1;False;False
31;True;Kh2;Kg1-h2;-23;25;Kh2;-127;104;3;False;False;False;51;4;a3, b1, f3;3;c4, d3, f7;3;a6, b2, d7, d3, b8, c4;6;b2, d3, b8, c4, f8;5;c4, d3;2;f7;1;False;False
31;False;Rb3;Rb8-b3;41;51;Rb6;-9;50;2;False;False;False;23;4;b2, d3, b3;3;a3, b1, f2;3;f2, g2, h2, a3, f3, g3, h3, g4;8;b1, d5, f2, g2, h2, f3, g3, h3, g4;9;f2, b1;2;a3;1;False;False
32;True;Bxd3;Bb1xd3;-47;23;Bxd3;18;65;2;False;True;False;40;5;a3, d3, f3;3;c4, f7, g6;3;a6, b2, b3, d7, c4;5;b3, c4, f8, b2;4;c4;1;f7, g6;2;False;False
32;False;cxd3;c4xd3;41;40;Rxd3;55;14;1;False;True;False;21;2;b2, b3;2;a3, f2;2;f2, g2, h2, f3, g3, h3, g4;7;d5, f2, g2, h2, f3, g3, h3, g4;8;f2;1;a3;1;False;False
33;True;Qf4;Qf3-f4;90;21;Qf4;68;22;0;False;False;False;39;3;f4, g3;2;d3, f7;2;a6, b3, d7, b2;4;b3, d3, f8, b2;4;d3;1;f7;1;False;False
33;False;Qxa3;Qb2xa3;753;39;d2;98;655;4;False;True;False;30;2;;0;;0;f2, g2, h2, g3, h3, f4, g4;7;f2, g2, h2, g3, h3, g4;6;;0;;0;False;False
34;True;Nh6;Ng4-h6;867;30;Nh6;964;97;3;False;False;False;34;0;f4, g3, h6;3;d3, f7, g6;3;a3, b3, a6, d7;4;a6, a3, b3, d3, f8;5;d3;1;f7, g6;2;False;False
34;False;Qe7;Qa3-e7;849;34;f6;920;71;2;False;False;False;34;4;;0;;0;f2, g2, h2, g3, f4;5;f2, g2, h6, g3, h3;5;;0;;0;False;False
35;True;Rxg6;Rg3xg6;1098;34;Rxg6;949;149;3;False;True;False;37;0;f4, g6, h6;3;a6, f7;2;a6, b3, d7, e7, f8;5;d3, d7, f7, e7, f8;5;f7;1;a6;1;False;False
35;False;Qe5;Qe7-e5;1137;37;Qe5;1155;18;0;False;False;False;25;3;e5, f7;2;d5, f4, g6;3;g2, f4, g6, h2;4;h3, h2, g2, h6;4;;0;d5, f4, g6;3;False;False
36;True;Rg8+;Rg6-g8+;1137;25;Rg8+;1158;21;0;True;False;False;1;0;f4, g8, h6;3;f7, e5, f8;3;d7;1;f8;1;f8;1;e5, f7;2;False;False
36;False;Ke7;Kf8-e7;1169;1;-;0;0;-1;False;False;False;25;2;e5;1;d5, f4;2;g2, h2, h6, f4, g8;5;h2, g2, g8, h3;4;;0;d5, f4;2;False;False
37;True;d6+;d5-d6+;1164;25;d6+;1141;23;0;True;False;False;3;2;d6, f4, h6;3;e7, f7, e5;3;e5, e7;2;d7, e7;2;e7;1;e5, f7;2;False;False
37;False;Ke6;Ke7-e6;1129;3;Ke6;1166;37;0;False;False;False;24;2;e5, e6;2;d6, f4;2;g2, h2, h6, f4, g8;5;h2, g2, g8, h3;4;;0;d6, f4;2;False;False
38;True;Re8+;Rg8-e8+;1145;24;Re8+;1164;19;0;True;False;False;2;1;e8, f4, h6;3;e6, f7, e5;3;e6, f7, e5;3;d7, e6;2;e6;1;e5, f7;2;False;False
38;False;Kd5;Ke6-d5;1160;2;Kd5;1160;0;0;False;False;False;23;3;d5, e5;2;d6, e8, f4;3;f4, g2, h2;3;h2, g2, h3;3;;0;d6, e8, f4;3;False;False
39;True;Rxe5+;Re8xe5+;1178;23;Rxe5+;1180;2;0;True;True;False;3;2;e5, f4, h6;3;d5, f7;2;;0;;0;;0;d5, f7;2;False;False
39;False;Nxe5;Nd7xe5;1151;3;Nxe5;1185;34;0;False;True;False;29;3;d5;1;d6;1;f4, g2, h2;3;f2, g2, h2, h6, h3;5;;0;d6;1;False;False
40;True;d7;d6-d7;1183;29;d7;1143;40;2;False;False;False;26;1;f4, h6;2;e5, f7;2;a6, b3, e5;3;d3, f7;2;f7;1;e5;1;False;False
40;False;Rb8;Rb3-b8;1175;26;Rb8;1182;7;0;False;False;False;32;3;e5;1;d7;1;f4, g2, h2;3;f2, g2, h2, h6, h3;5;;0;d7;1;False;False
41;True;Nxf7;Nh6xf7;1139;32;Nxf7;1185;46;2;False;True;False;29;2;f7, f4;2;e5;1;a6, e5;2;d3;1;;0;e5;1;False;False
