fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers_white;attackers_count_white;threatened_pieces_white;threatened_pieces_count_white;guards_white;guards_count_white;guarded_pieces_white;guarded_pieces_count_white;threatened_guarded_pieces_white;threatened_guarded_pieces_count_white;unopposed_threats_white;unopposed_threats_count_white;attackers_black;attackers_count_black;threatened_pieces_black;threatened_pieces_count_black;guards_black;guards_count_black;guarded_pieces_black;guarded_pieces_count_black;threatened_guarded_pieces_black;threatened_guarded_pieces_count_black;unopposed_threats_black;unopposed_threats_count_black;pawn_ending;rook_ending
21;False;Rxa3;Ra8xa3;-4;52;Rxa3;21;25;0;False;True;False;39;4;c5, f6, a3, b7, b4, e8;6;b2, d5, e4, f3;4;b1, c1, d1, e1, g1, g2, f3, e4;8;c1, d5, e1, d1, g1, b2, f2, g2, f3, h3, e4;11;d5, e4, f3, b2;4;;0;b5, c1, b2;3;a3, d6, h6;3;;0;;0;;0;a3, d6, h6;3;False;False
22;True;Nxa3;Nb5xa3;-50;39;Nxa3;-27;23;0;False;True;False;46;6;c5, f6, b7, b4, e8;5;b2, d5, e4, f3;4;;0;;0;;0;b2, d5, e4, f3;4;a3, c1;2;c4, h6;2;c5, d6, f6, g7, e8, f8, g8;7;c5, d6, f6, h6, b7, f7, g7, f8;8;h6;1;c4;1;False;False
22;False;Ba6;Bb7-a6;12;46;Ba6;0;12;0;False;False;False;35;2;b4, c5, e8, f6;4;b2, d5, e4, f3;4;b1, c1, d1, e1, g1, b2, g2, a3, f3, e4;10;b1, c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, e4;13;d5, e4, f3, b2;4;;0;a3, c1;2;c4, h6;2;;0;;0;;0;c4, h6;2;False;False
23;True;Re3;Re1-e3;10;35;Re3;18;8;0;False;False;False;43;5;b4, c5, e8, f6;4;b2, d5, e4, f3;4;;0;;0;;0;b2, d5, e4, f3;4;a3;1;c4;1;c5, a6, d6, f6, g7, b4, e8, f8, g8;9;c5, a6, d6, f6, h6, f7, g7, c4, f8;9;c4;1;;0;False;False
23;False;Rb8;Re8-b8;15;43;Rb8;0;15;0;False;False;False;36;1;b4, c5, f6;3;b2, d5, e4, f3;4;b1, c1, d1, g1, b2, f2, g2, a3, e3, f3, e4;11;b1, c1, d5, g1, b2, f2, g2, a3, e3, f3, h3, e4;12;d5, e4, f3, b2;4;;0;a3;1;c4;1;;0;;0;;0;c4;1;False;False
24;True;e5;e4-e5;-60;36;Rc3;-31;29;1;False;False;False;39;4;b4, d6, f6;3;d5, e5, f3;3;;0;;0;;0;d5, e5, f3;3;a3, e5;2;c4, d6, f6;3;c5, a6, d6, f6, g7, b4, b8, f8, g8;9;c5, a6, d6, f6, h6, f7, g7, b4, c4, f8;10;f6, d6, c4;3;;0;False;False
24;False;dxe5;d6xe5;-18;39;dxe5;1;19;0;False;True;False;42;3;b4, f6;2;d5, f3;2;c1, d1, g1, b2, f2, g2, a3, e3, f3;9;b1, c1, d5, g1, b2, f2, g2, a3, e3, f3, h3;11;d5, f3;2;;0;a3, e3, f3;3;c4, e5;2;;0;;0;;0;c4, e5;2;False;False
25;True;Nxe5;Nf3xe5;-51;42;Nxe5;-52;1;0;False;True;False;43;3;b4, f6;2;d5, e5, f2;3;;0;;0;;0;d5, e5, f2;3;a3, e5;2;c4, f7;2;c5, a6, f6, g7, b4, b8, f8, g8;8;c5, a6, f6, h6, f7, g7, b4, c4, f8;9;f7, c4;2;;0;False;False
25;False;Nbd3;Nb4-d3;71;43;Ncd3;8;63;2;False;False;False;43;7;b8, d3, f6;3;b2, c1, e5, f2;4;c1, d1, g1, b2, f2, g2, a3, e3;8;b1, c1, e5, g1, b2, g2, a3, e3, h3;9;e5, b2, c1;3;f2;1;b1, d1, e5, a3, e3;5;c4, d3, f7;3;;0;;0;;0;c4, d3, f7;3;False;False
26;True;Ng4;Ne5-g4;-102;43;Qc2;60;162;3;False;False;False;51;6;b8, d3, f6;3;b2, c1, f2;3;;0;;0;;0;b2, c1, f2;3;b1, d1, a3, e3, g4;5;c4, d3, f6, h6;4;c5, a6, f6, d3, g7, b8, c4, f8, g8;9;c5, a6, f6, h6, d3, f7, g7, c4, f8;9;h6, f6, c4, d3;4;;0;False;False
